Sector,Ticker,Description,Issuer,AUM,ExpenseRatio,3-MO TR,Segment
Agriculture,DBA,Invesco DB Agriculture Fund,Invesco,$442.91M,0.89%,#NAME?,Commodities: Agriculture
Agriculture,JO,iPath Series B Bloomberg Coffee Subindex Total Return ETN,Barclays Bank PLC,$79.86M,0.45%,#NAME?,Commodities: Agriculture Coffee
Agriculture,CORN,Teucrium Corn Fund,Teucrium,$59.24M,3.65%,#NAME?,Commodities: Agriculture Corn
Agriculture,WEAT,Teucrium Wheat Fund,Teucrium,$53.59M,3.63%,#NAME?,Commodities: Agriculture Wheat
Agriculture,SGG,iPath Series B Bloomberg Sugar Subindex Total Return ETN,Barclays Bank PLC,$24.01M,0.45%,2.32%,Commodities: Agriculture Sugar
Agriculture,SOYB,Teucrium Soybean Fund,Teucrium,$23.36M,3.63%,#NAME?,Commodities: Agriculture Soybeans
Agriculture,NIB,iPath Bloomberg Cocoa Subindex Total Return ETN,Barclays Bank PLC,$18.36M,0.70%,1.15%,Commodities: Agriculture Cocoa
Agriculture,JJG,iPath Series B Bloomberg Grains Subindex Total Return ETN,Barclays Bank PLC,$18.04M,0.45%,#NAME?,Commodities: Agriculture Grains
Agriculture,CANE,Teucrium Sugar Fund,Teucrium,$11.16M,3.58%,#NAME?,Commodities: Agriculture Sugar
Agriculture,COW,iPath Series B Bloomberg Livestock Subindex Total Return ETN,Barclays Bank PLC,$9.48M,0.45%,3.77%,Commodities: Agriculture Livestock
Agriculture,BAL,iPath Series B Bloomberg Cotton Subindex Total Return ETN,Barclays Bank PLC,$8.60M,0.45%,3.64%,Commodities: Agriculture Cotton
Agriculture,JJA,iPath Series B Bloomberg Agriculture Subindex Total Return E…,Barclays Bank PLC,$6.69M,0.45%,#NAME?,Commodities: Agriculture
Agriculture,JJS,iPath Series B Bloomberg Softs Subindex Total Return ETN,Barclays Bank PLC,$4.23M,0.45%,#NAME?,Commodities: Agriculture Softs
Agriculture,FUD,ETRACS UBS Bloomberg CMCI Food Total Return ETN,UBS,$3.43M,0.65%,#NAME?,Commodities: Agriculture
Agriculture,UAG,ETRACS UBS Bloomberg CMCI Agriculture Total Return ETN,UBS,$2.82M,0.65%,#NAME?,Commodities: Agriculture
Agriculture,TAGS,Teucrium Agricultural Fund,Teucrium,$1.43M,0.48%,#NAME?,Commodities: Agriculture
Agriculture,FUE,Elements MLCX Biofuels Index-Total Return ETN,Swedish Export Credit,--,0.75%,#NAME?,Commodities: Agriculture Grains
Agriculture,GRU,Elements MLCX Grains Index-Total Return ETN,Swedish Export Credit,--,0.75%,#NAME?,Commodities: Agriculture Grains
Agriculture,RJA,Elements Rogers International Commodity Index-Agriculture TR…,Swedish Export Credit,--,0.75%,#NAME?,Commodities: Agriculture
Aluminum,JJU,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,Barclays Bank PLC,$4.57M,0.45%,#NAME?,Commodities: Industrial Metals Aluminum
Cocoa,NIB,iPath Bloomberg Cocoa Subindex Total Return ETN,Barclays Bank PLC,$18.36M,0.70%,1.15%,Commodities: Agriculture Cocoa
Coffee,JO,iPath Series B Bloomberg Coffee Subindex Total Return ETN,Barclays Bank PLC,$79.86M,0.45%,#NAME?,Commodities: Agriculture Coffee
Commodities,GLD,SPDR Gold Trust,State Street Global Advisors,$30.57B,0.40%,#NAME?,Commodities: Precious Metals Gold
Commodities,IAU,iShares Gold Trust,BlackRock,$12.17B,0.25%,#NAME?,Commodities: Precious Metals Gold
Commodities,SLV,iShares Silver Trust,BlackRock,$4.62B,0.50%,#NAME?,Commodities: Precious Metals Silver
Commodities,PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 …,Invesco,$2.12B,0.58%,5.01%,Commodities: Broad Market
Commodities,DBC,Invesco DB Commodity Index Tracking Fund,Invesco,$1.77B,0.89%,4.31%,Commodities: Broad Market
Commodities,USO,United States Oil Fund LP,US Commodity Funds,$1.54B,0.84%,20.27%,Commodities: Energy Crude Oil
Commodities,GSG,iShares S&P GSCI Commodity Indexed Trust,BlackRock,$1.22B,0.80%,9.00%,Commodities: Broad Market
Commodities,SGOL,Aberdeen Standard Physical Swiss Gold Shares ETF,Aberdeen Asset Management,$851.92M,0.17%,#NAME?,Commodities: Precious Metals Gold
